uuid,day,hour,max_speed
Device_5,0,11,0.14
Device_5,0,12,14.35
Device_5,0,13,14.83
Device_5,0,14,0.32
Device_5,0,15,0.82
Device_5,0,16,0.00
Device_5,0,19,3.15
Device_5,0,20,17.43
Device_5,0,21,14.74
Device_5,1,0,0.00
Device_5,1,1,0.01
Device_5,1,6,0.15
Device_5,1,7,1.00
Device_5,1,8,11.95
Device_5,1,9,0.00
Device_5,1,10,0.00
Device_5,1,11,0.00
Device_5,1,12,1.01
Device_5,1,13,0.00
Device_5,1,14,0.00
Device_5,1,15,0.00
Device_5,1,16,16.28
Device_5,1,17,1.65
Device_5,1,18,0.60
Device_5,1,19,0.00
Device_5,1,20,3.23
Device_5,1,21,4.38
Device_5,1,22,0.00
Device_5,1,23,0.00
Device_5,2,0,0.18
Device_5,2,5,0.47
Device_5,2,7,0.00
Device_5,2,8,17.20
Device_5,2,9,1.72
Device_5,2,10,1.07
Device_5,2,11,0.00
Device_5,2,12,0.00
Device_5,2,13,0.00
Device_5,2,14,0.63
Device_5,2,15,17.63
Device_5,2,16,1.28
Device_5,2,17,12.13
Device_5,2,18,15.27
Device_5,2,19,0.00
Device_5,2,20,15.21
Device_5,2,21,0.00
Device_5,3,1,0.15
Device_5,3,6,1.24
Device_5,3,8,0.00
Device_5,3,9,16.82
Device_5,3,10,0.00
Device_5,3,11,1.22
Device_5,3,12,16.52
Device_5,3,13,0.00
Device_5,3,14,1.16
Device_5,3,15,0.00
Device_5,3,16,0.00
Device_5,3,17,3.77
Device_5,3,18,3.57
Device_5,3,20,20.30
Device_5,3,22,19.01
Device_5,3,23,0.26
Device_5,4,0,0.26
Device_5,4,5,23.60
Device_5,4,6,0.30
Device_5,4,7,0.00
Device_5,4,8,0.57
Device_5,4,9,0.66
Device_5,4,10,1.33
Device_5,4,11,0.00
Device_5,4,12,0.00
Device_5,4,13,13.62
Device_5,4,14,15.70
Device_5,4,15,14.18
Device_5,4,16,0.00
Device_5,4,17,12.86
Device_5,4,18,14.51
Device_5,4,19,0.00
Device_5,4,20,16.76
Device_5,5,5,0.68
Device_5,5,8,0.00
Device_5,5,9,0.00
Device_5,5,10,0.39
Device_5,5,11,1.86
Device_5,5,12,0.78
Device_5,5,13,0.06
Device_5,5,15,1.64
Device_5,5,16,1.69
Device_5,5,17,14.23
Device_5,5,18,13.46
Device_5,5,19,17.74
Device_5,5,20,0.00
Device_5,5,21,0.00
Device_5,5,22,0.00
Device_5,6,0,0.00
Device_5,6,2,18.62
Device_5,6,6,0.30
Device_5,6,9,0.31
Device_5,6,10,0.18
Device_5,6,11,0.00
Device_5,6,12,0.63
Device_5,6,13,0.50
Device_5,6,14,0.16
Device_5,6,15,17.12
Device_5,6,16,1.95
Device_5,6,17,1.57
Device_5,6,19,0.00
Device_5,6,20,2.32
Device_5,6,21,0.00
Device_5,6,22,21.50
Device_5,6,23,0.00
